ID,appellation,alternativeNames,gender,verbaleDating,wikidata_id,gnd_id,occupation,resource_urls
2e03887a-d738-4584-9812-e967c81125e7,"Hoyer, Dietrich d. J.",,MALE,,,,commissioner,
c2ed45ac-63c8-4c5c-b6d8-1ce7966c9a4d,"Philipp I., Hessen, Landgraf",,MALE,,,11859382X,commissioner,
b0744eec-4a34-4fc9-9df5-1b186b6d3bec,"Wilhelm IV., Hessen-Kassel, Landgraf",,MALE,,,118632922,commissioner,
738cf201-4aff-44a3-82ef-f757ed19592a,"Wilhelm VIII., Hessen-Kassel, Landgraf",,MALE,,,118632914,commissioner,
84637db4-69ba-4c0f-88c0-0c19741c71f6,"Riemenschneider, Antonius",,MALE,,,,architect,
9bffeb77-e411-486d-8a51-33ae21fb86c6,"Friedrich II., Hessen-Kassel, Landgraf",,MALE,,Q454473,130249424,commissioner,
2ae6e176-cd8a-4c43-a9e5-b86846417da1,"Marie Amelie, Hessen-Kassel, Landgräfin",,FEMALE,,,101102917,commissioner,
0114ec66-7eef-4959-9f77-9483b24adbd2,"Raufft, Franz Ludwig",,MALE,,,1089401558,painter,
43fb2d0d-2d13-4795-a9b3-957376fafbea,Homagius,,MALE,,,,painter,
dc97f2c2-b844-4507-b98a-cefdfa90caf6,"Philippine, Hessen-Kassel, Landgräfin","Brandenburg-Schwedt, Philippine, Prinzessin von",FEMALE,,Q449181,140611835,commissioner,
c2ae0a49-bbc9-4ff1-a369-e062f681f160,"Helle, Oliver",,MALE,,,,painter,
d20b63ab-7568-4a87-a72d-d7d43842d8c4,"Schleinitz, Hans von",,MALE,,,,commissioner,
1edc3ee2-46ec-41db-b86e-1680957d34f8,"Thumbshirn, Wilhelm Friedrich von","Thumshirn, Wilhelm Friedrich von",MALE,,,128878126,commissioner,
0f3be054-4190-4f9e-96df-33dacd249cde,"Miltitz, Hans Dietrich von",,MALE,,,121783154,commissioner,
31276c2d-cbc5-48d3-a004-58941bfca48b,"Flemel, Hans Leonhard",,MALE,,,,building craftsman,
82e87b25-8884-42d9-9c6f-779ab51b45f7,"Offelen, Heinrich",,MALE,,,129190438,template provider,
2300b1d8-3988-48d8-896c-b357a2306f67,"Camerarius, Joachim",,MALE,,,119101459,template provider,
1173d50e-305b-488b-b36a-e57bce1636ce,"Saavedra Fajardo, Diego de",,MALE,,,118604465,template provider,
051db01a-6deb-4a77-9395-6cb232165914,"Scheitler, Anton",,MALE,,,129247561,painter,
6627eb02-b6e0-49c1-865d-294afce9893f,"Closen, Antonia Catharina von",,FEMALE,,,,donor,
634deed2-2bac-4458-8da4-c242a45d9379,"Closen, Georg Cajetan von",,MALE,,,,donor,
b404cee7-d250-44bb-9514-fa9d1efbe567,"Wintzingerode, Heinrich Jobst von; 1628-1677",,MALE,,,121773086,commissioner,
77d72707-1248-47da-836f-e05944c38f79,"Winztingerode, Adolph Ernst von",,MALE,,,,commissioner,
585d4850-d2ee-40a6-9ad0-d9319c5f2b0d,"Wintzingerode-Bodenstein, Wilko Graf",,MALE,,,1159358761,commissioner,
5205fabe-fd7f-45e9-b23e-1fca7df7191a,"Wintzingerode, Georg Ernst Levin von",,MALE,,Q1504153,117411469,commissioner,
dea605b3-ffaa-4ac0-b6d7-e70d385f746e,"Seif, Linus",,MALE,,Q1827081,,painter,
0d6fbfec-a774-45b8-aa5e-69bff9b26cb9,"Schreckenstein, Honorius Roth von",,MALE,,Q14635279,11663930X,commissioner,
d5b0f603-885e-4334-af17-48b4e848be43,"Monnot, Pierre Etienne",,MALE,,Q3383614,119482576,artist;sculptor,
209ac4b9-69e1-4f93-aafd-ed2c9403961a,"Hochfeld, Johann Christoph",,MALE,,,,painter,
75026322-a854-41f5-a016-044c0a0681ac,"Giesler, Johann Conrad",,MALE,,,,architect,
ac5ebe3f-72c5-46cd-9119-2c2e846b07a9,"Correggio, Antonio Allegri da",,MALE,,Q8457,11867692X,template provider,
0a3e30b5-b044-4e1a-b7a7-12fc2b72fa9d,"Schubert, Peter",,MALE,,Q2078207,119207192,painter,
e6e04e5a-243d-4499-add2-ed53ebef453a,"Lenné, Peter Joseph",,MALE,,Q26671246,136623794,landscape architect,
d1195eba-9141-4141-92eb-62275f9cc9de,"Godeau, Simon",,MALE,,Q94914407,1071601571,landscape architect,
